titulo,link,descricao
Piauí Instituto de Tecnologia (PIT) destina 25% das vagas exclusivamente para mulheres em cursos de IA - Assembleia Legislativa do Piauí,https://news.google.com/rss/articles/CBMi7gFBVV95cUxNWVRBa2tjNmpRUXdkZzNWdFVab015U0plWV9rWE11UnVNM3c3M2hfcFc3QnlHTy1lMTJBWWZGU00tbGZoMGZiUXQ1V1RLMUlCdmt6bkxaQjNrT1l6bDhPcGF0ZFY3N0VaWFg5SDdzaXpxUDh4eGFXb3daMEROekNXLUlUR1pUa2dqQktQbDRJRWNnaVVxM1kxZjdrZ195dHp0N2RFQ2I3WmkwU3RwZWZQem9la09QVUhDNmRlaDB3bGZWZUFjZ3Mya1l1TExEc3duMWVRR3VBazJSSGxybTBTVWthS0E3WXJQX0pSYWZn?oc=5,Piauí Instituto de Tecnologia (PIT) destina 25% das vagas exclusivamente para mulheres em cursos de IA&nbsp;&nbsp;Assembleia Legislativa do Piauí
TCE-PI adota inteligência artificial para agilizar análise de aposentadorias e pensões - Tribunal de Contas do Estado do Piauí,https://news.google.com/rss/articles/CBMisAFBVV95cUxPZUpqS0tyYVRsZEhBMld5aUQ3RmNsZmY3NG1xUmZVbVNscHdEU3MzYjJfYVNjWDlTWTd0dVA0LVVUQ2Q1U1RlUXV1eFpvTjZpb2RWb1ZhOWNLbU1sYTYta09zajRuZGJ3X1JyQXRHdHRhZkRvUDdTN09xd1FXQjcxYndMSU5WZnFhTEdiZDhxWVh2Q2RXUlA2ZmVrSFhaT2tfX1k3REhYQm1SNmJuWk9NVw?oc=5,TCE-PI adota inteligência artificial para agilizar análise de aposentadorias e pensões&nbsp;&nbsp;Tribunal de Contas do Estado do Piauí
"UFPI participa do lançamento da SoberanIA, primeira inteligência artificial brasileira baseada em dados públicos - UFPI",https://news.google.com/rss/articles/CBMi8AFBVV95cUxQWFpBYlQwb2tOX2dra0RtZFVialVzQzBlSmlKNTB6VGREZmRoalJkUXFHQzhRbmhEUFprdEVTbmU1cGF5cFk3ZE4xX3ZNekVwQkd2RDNfYWF5OFlrTUhrOWdSdXpLNlYxeW5JUWhfZmx4VF8wXy1seUFKcXJqcHBWRmttZVdLZVRMbVBoUG9tVXM4WUVTb0dnWXRxMk9iQnd6TXlpMkpLVG45ZnRCTXY5c2pQS0RKaTg5YjBKZHVvbnBTT3I0dVlpUzJTdXMyWHlwWFBWaFBjRE0tYXZaaUhkU1lOai0xYVpvZGlNQ1FMeFk?oc=5,"UFPI participa do lançamento da SoberanIA, primeira inteligência artificial brasileira baseada em dados públicos&nbsp;&nbsp;UFPI"
Seduc amplia formação de professores para ensinar Inteligência Artificial nas escolas - pi.gov.br,https://news.google.com/rss/articles/CBMirAFBVV95cUxNbXd0TkFTWW9KdzhNMjJhbUxxRm0yNTdIUUJ4cWlIbC1yVWNHelIyS1g5QnBUcEJ3eUxIRXJrZDhxeUpHektwM2Z6aVlHQklRbXAxWEpsTS01dXVFOGJaMW04dUM5QzBSOW0yM3ZUVkVQcldMSFRKMm1rLTYtRmhETzlrTzk5OWdiVEhJenNTdEJtMzRSZVhjeUtRYUc5MnFhZFQ5dHo0NHAtNFZB?oc=5,Seduc amplia formação de professores para ensinar Inteligência Artificial nas escolas&nbsp;&nbsp;pi.gov.br
Contatos SEDUC - SEDUC-PI,https://news.google.com/rss/articles/CBMiugJBVV95cUxQOThHa1RjNDEyZzVjbnA3WTVrc1NsWGM5YWFhbDdDV01NLVhiWGtLVlgyZVh6QkZrUXZFOFl1T1ZoSlhpNXBYNERYUUx5aVY0V2tQeEtRcUwwazBCbnZ3Vm11SW8tYkZmZjBvTWRxQ29LV1U4Sno4eFJLeUJxcFM3LWNRNjVGZEVSMGcxbktOcjMxOElMNTJwbi1Mb2E2d3hLUm9qRVNGTTJxSktLemEwUTk2TFladTFDRjdDSmUyalo3LXBJcktVcERMMU5QN3dkQm5ZMmVCNkI3VXVLTFJMekZOVDAwY1FVemJfLUpwNnpCdDZTOWVnT3JRd2h3VENNSVdwN3hBYXVIN2NfdVJTSG5PTDAwRV9XMEFRMy1sS3p0SC1rWGltem5vc2JzTWpMNEhJNkpYS2JnQQ?oc=5,Contatos SEDUC&nbsp;&nbsp;SEDUC-PI
Governo do Estado aposta em inteligência artificial para modernizar gestão pública com o programa CapacitIA - pi.gov.br,https://news.google.com/rss/articles/CBMiygFBVV95cUxOYk83UFVVVGdvR3E4UElnNE9uQ0dYSnVpQmpoZnZQcjJGX3BDaHFGRm1NRURuSWNCVFJjTmJheDc0S2FjNXpRU1BhUDBaYng5eFZyYU1BTzRGZ2hhUUZKTm1kalBmeUhUb3RMUWlCZlJlU0dTWVo1ckctWExXemVPR0I1NERyNDZVRkdreDFGNEZWVzZ0U3loOWxBRzJGWk1JM2diQjZLeUd0T3RVdzlWc01TOTdHMU5NV1dXWndSYXgyTUh2WVZLYld3?oc=5,Governo do Estado aposta em inteligência artificial para modernizar gestão pública com o programa CapacitIA&nbsp;&nbsp;pi.gov.br
Inscrições para processo seletivo da Faculdade Estadual PIT encerram no domingo (27) - pi.gov.br,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPTzdtVnVCN0tYa2dsVEItYVdZeEs0d2pPTWdlSnMzdFZDMkFDek9UWUk5X29KZ3NZekNUTEZ6a1dIalpHMHl5RFpLNUQzdy1LZDlPUVQ2UGFBMk04SHlqX3M1Mlc1RFgtTk5NeGwwUUVoX005WVlFVmFTNVFPeU0zd1lzTS1WdXpXdklSMnh2X2NrVDh4S0dPWFdJS1hub2FKMFlKQ2VmUjQ?oc=5,Inscrições para processo seletivo da Faculdade Estadual PIT encerram no domingo (27)&nbsp;&nbsp;pi.gov.br
Inteligência artificial revoluciona escolas públicas no Piauí e amplia oportunidades para estudantes - Assembleia Legislativa do Piauí,https://news.google.com/rss/articles/CBMi7wFBVV95cUxPTlNPX09QbzBjQmt3UUpRRWpjYkktNl9oU1hnckVNT1hYa0VfT2VienhUWUJCUjZiMnFQN2JHYURvRjlIandDQVVOSVJrT041WVdrN1VYVjktZTEzeU8wcGtlOVJUWmVnV3BlUDdSbks3Y0ZHbnBiTF90cmFmWnR1OExyaHN4bzJVSmdaNUJOM1FYcFB5eEZ4NzBKRE5CY0UyMUpXTzUzNmF1YjJZeEsySV9mTnUwTnFueDNDRXRRWjFzd2packwzbTBSVEFtaERHbnpDaUhNOEtuWFp5VWdZNWdfTTNmRnFEVm45clRQWQ?oc=5,Inteligência artificial revoluciona escolas públicas no Piauí e amplia oportunidades para estudantes&nbsp;&nbsp;Assembleia Legislativa do Piauí
Governo do Piauí capacita servidores da área social para uso de IA - pi.gov.br,https://news.google.com/rss/articles/CBMikwFBVV95cUxOeHY1Z3Rxb0FlUU5CUjRDUlpvZHBQVTZiTU5HY1JxR00zeUw4dVU4THRKUEFuWF9lb1ZMaDBjN0Z1czZfZGlsUklfbFV6Q2dhWG11SzV1MkVXVlRnUVpVRWZpeDVsTWw2aWZKU2tfeXkySVNtZ0xBUW5xMDRkNEMwNEE4ZzE3bC00VFc3UXZBeGp6ZHc?oc=5,Governo do Piauí capacita servidores da área social para uso de IA&nbsp;&nbsp;pi.gov.br
TJPI apresenta JuLIA em curso sobre Inteligência Artificial no Judiciário promovido pela OAB-PI - Tribunal de Justiça do Piauí,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQNEJCVjdldTExSHNfeVNCVG9LMHlrRGs5YWYyUE5UTGt0YW16MjdXd25icmI4U1Y3ZmJWcFlmZlNTWWdXX0g3S2pNZll1RXgzLTk2X0Znb3VBU3JxVGRCdnVlZlZQcXpjbTZVYlkxNVFGd3gyaWQ3OGRvTXBlQWoybHRsMTRpR1NMU3NMZXFRdUxXb29XZnpfelFJUTFBVW1yZDA2UHE1Z1VqcF9UNTBaVmx0OS1jTmJzdXNRQ3NLUnBwWnJWODZHeGhyYUFSdFpia1cwMGp1Q3h4LTlxS1lONENiLVE?oc=5,TJPI apresenta JuLIA em curso sobre Inteligência Artificial no Judiciário promovido pela OAB-PI&nbsp;&nbsp;Tribunal de Justiça do Piauí
